platform_id	platform_name	os	version	uv	hp_cal_dt
2	主APP	ios	7.9.2	21227	2016-12-24 
2	主APP	ios	7.9.4	12212	2016-12-24 
2	主APP	ios	7.9.6	12831	2016-12-24 
2	主APP	ios	7.9.8	15010	2016-12-24 
2	主APP	ios	8.0.0	9101	2016-12-24 
2	主APP	ios	8.0.1	15301	2016-12-24 
2	主APP	ios	8.0.2	12904	2016-12-24 
2	主APP	ios	8.0.4	11547	2016-12-24 
2	主APP	ios	8.0.5	26451	2016-12-24 
2	主APP	ios	8.0.6	18888	2016-12-24 
2	主APP	ios	8.0.8	32556	2016-12-24 
2	主APP	ios	8.1.0	44165	2016-12-24 
2	主APP	ios	8.1.2	72181	2016-12-24 
2	主APP	ios	8.1.4	61645	2016-12-24 
2	主APP	ios	8.1.6	57454	2016-12-24 
2	主APP	ios	9.0.0	14126	2016-12-24 
2	主APP	ios	9.0.1	170413	2016-12-24 
2	主APP	ios	9.0.2	252978	2016-12-24 
2	主APP	ios	9.0.4	130781	2016-12-24 
2	主APP	ios	9.0.6	311908	2016-12-24 
2	主APP	ios	9.0.8	466593	2016-12-24 
2	主APP	ios	9.1.0	4723852	2016-12-24 
2	主APP	ios	9.1.2	7	2016-12-24 
2	主APP	ios	9.9.9	0	2016-12-24 
2	主APP	ios	1.0.0	0	2016-12-21 
2	主APP	ios	1.0.1	0	2016-12-21 
2	主APP	ios	1.0.3	1	2016-12-21 
2	主APP	ios	1.1.0	37	2016-12-21 
2	主APP	ios	2.2.0	0	2016-12-21 
2	主APP	ios	3.0.0	0	2016-12-21 
2	主APP	ios	3.1.0	0	2016-12-21 
2	主APP	ios	3.1.1	1	2016-12-21 
2	主APP	ios	4.0.0	1	2016-12-21 
2	主APP	ios	4.1.0	1	2016-12-21 
2	主APP	ios	4.1.2	0	2016-12-21 
2	主APP	ios	4.2.0	0	2016-12-21 
2	主APP	ios	4.3.0	3	2016-12-21 
2	主APP	ios	4.5.0	0	2016-12-21 
2	主APP	ios	4.6.0	1	2016-12-21 
2	主APP	ios	4.6.1	1	2016-12-21 
2	主APP	ios	4.7.0	0	2016-12-21 
2	主APP	ios	4.7.1	2	2016-12-21 
2	主APP	ios	4.7.2	0	2016-12-21 
2	主APP	ios	4.8.0	2	2016-12-21 
2	主APP	ios	4.8.1	3	2016-12-21 
2	主APP	ios	4.8.2	0	2016-12-21 
2	主APP	ios	4.9.0	6	2016-12-21 
2	主APP	ios	4.9.10	0	2016-12-21 
2	主APP	ios	4.9.11	0	2016-12-21 
2	主APP	ios	4.9.12	0	2016-12-21 
2	主APP	ios	5.0.0	5	2016-12-21 
2	主APP	ios	5.1.0	3	2016-12-21 
2	主APP	ios	5.2.0	5	2016-12-21 
2	主APP	ios	5.2.1	0	2016-12-21 
2	主APP	ios	5.3.0	2	2016-12-21 
2	主APP	ios	5.3.1	11	2016-12-21 
2	主APP	ios	5.4.0	9	2016-12-21 
2	主APP	ios	5.4.5	11	2016-12-21 
2	主APP	ios	5.5.0	3	2016-12-21 
2	主APP	ios	5.5.1	9	2016-12-21 
2	主APP	ios	5.6.0	14	2016-12-21 
2	主APP	ios	5.7.0	19	2016-12-21 
2	主APP	ios	5.8.1	8	2016-12-21 
2	主APP	ios	5.8.2	10	2016-12-21 
2	主APP	ios	5.9.0	7	2016-12-21 
2	主APP	ios	5.9.5	21	2016-12-21 
2	主APP	ios	6.0.0	0	2016-12-21 
2	主APP	ios	6.0.1	24	2016-12-21 
2	主APP	ios	6.0.2	2	2016-12-21 
2	主APP	ios	6.1.0	30	2016-12-21 
2	主APP	ios	6.2.0	11	2016-12-21 
2	主APP	ios	6.2.1	18	2016-12-21 
2	主APP	ios	6.3.0	62	2016-12-21 
2	主APP	ios	6.4.0	33	2016-12-21 
2	主APP	ios	6.4.1	29	2016-12-21 
2	主APP	ios	6.5.0	38	2016-12-21 
2	主APP	ios	6.5.1	56	2016-12-21 
2	主APP	ios	6.6.0	28	2016-12-21 
2	主APP	ios	6.6.5	89	2016-12-21 
2	主APP	ios	6.7.0	54	2016-12-21 
2	主APP	ios	6.7.5	96	2016-12-21 
2	主APP	ios	6.8.0	67	2016-12-21 
2	主APP	ios	6.8.5	223	2016-12-21 
2	主APP	ios	6.9.0	205	2016-12-21 
2	主APP	ios	6.9.5	439	2016-12-21 
2	主APP	ios	6.9.7	416	2016-12-21 
2	主APP	ios	6.9.8	366	2016-12-21 
2	主APP	ios	7.0.0	193	2016-12-21 
