platform_id	platform_name	os	version	uv	hp_cal_dt
2	主APP	ios	6.6.5	38	2017-02-18
2	主APP	ios	6.7.0	40	2017-02-18
2	主APP	ios	6.7.5	72	2017-02-18
2	主APP	ios	6.8.0	53	2017-02-18
2	主APP	ios	6.8.5	187	2017-02-18
2	主APP	ios	6.9.0	175	2017-02-18
2	主APP	ios	6.9.5	352	2017-02-18
2	主APP	ios	6.9.7	251	2017-02-18
2	主APP	ios	6.9.8	225	2017-02-18
2	主APP	ios	7.0.0	106	2017-02-18
2	主APP	ios	7.0.1	496	2017-02-18
2	主APP	ios	7.0.2	338	2017-02-18
2	主APP	ios	7.1.0	545	2017-02-18
2	主APP	ios	7.2.0	579	2017-02-18
2	主APP	ios	7.5.0	475	2017-02-18
2	主APP	ios	7.5.1	1692	2017-02-18
2	主APP	ios	7.5.3	0	2017-02-18
2	主APP	ios	7.6.0	3026	2017-02-18
2	主APP	ios	7.7.0	951	2017-02-18
2	主APP	ios	7.8.0	1086	2017-02-18
2	主APP	ios	7.8.1	806	2017-02-18
2	主APP	ios	7.8.2	3277	2017-02-18
2	主APP	ios	7.9.0	9350	2017-02-18
2	主APP	ios	7.9.2	13596	2017-02-18
2	主APP	ios	7.9.4	6861	2017-02-18
2	主APP	ios	7.9.6	6609	2017-02-18
2	主APP	ios	7.9.8	7671	2017-02-18
2	主APP	ios	8.0.0	4653	2017-02-18
2	主APP	ios	8.0.1	7902	2017-02-18
2	主APP	ios	8.0.2	6632	2017-02-18
2	主APP	ios	8.0.4	5887	2017-02-18
2	主APP	ios	8.0.5	13296	2017-02-18
2	主APP	ios	8.0.6	11758	2017-02-18
2	主APP	ios	8.0.8	20466	2017-02-18
2	主APP	ios	8.1.0	26600	2017-02-18
2	主APP	ios	8.1.2	43492	2017-02-18
2	主APP	ios	8.1.4	36541	2017-02-18
2	主APP	ios	8.1.6	32524	2017-02-18
2	主APP	ios	9.0.0	7613	2017-02-18
2	主APP	ios	9.0.1	207842	2017-02-18
2	主APP	ios	9.0.2	127456	2017-02-18
2	主APP	ios	9.0.4	53254	2017-02-18
2	主APP	ios	9.0.6	90298	2017-02-18
2	主APP	ios	9.0.8	69235	2017-02-18
2	主APP	ios	9.1.0	131249	2017-02-18
2	主APP	ios	9.1.2	1048222	2017-02-18
2	主APP	ios	9.1.6	4044601	2017-02-18
2	主APP	ios	9.1.7	1	2017-02-18
